"Nom du lieu ou du projet";"Fiche agence liée";"Titre affiché";Adresse;Coordonnées;"Interior Designers";"Points of Interest";"Design events";"Design point of sales";"Année projet";"Description projet";"Date du vernissage";"Heure de vernissage";"Date de début de l'exposition";"Date de fin de l'exposition";"Site web du projet";"Crédits photo";"Photos du projet"
"Roche Bobois, Paramus / New Jersey , 776 Route 17
07652 Paramus, New Jersey";"Roche Bobois";"Paramus / New Jersey";"776 Route 17
07652 Paramus, New Jersey";"40.9729159, -74.0798648";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516348.jpg
"Roche Bobois, Pasadena, 33 West Green Street, Pasadena, Ca 91105";"Roche Bobois";Pasadena;"33 West Green Street, Pasadena, Ca 91105";"34.144751, -118.1513539";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516348_0.jpg
"Roche Bobois, Philadelphia, 311 Arch Street
Philadelphia, Pa 19106";"Roche Bobois";Philadelphia;"311 Arch Street
Philadelphia, Pa 19106";"39.9525297, -75.1457003";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516348_1.jpg
"Roche Bobois, Portland, 1025 Sw Washington Street
Portland, Or 97205";"Roche Bobois";Portland;"1025 Sw Washington Street
Portland, Or 97205";"45.5216693, -122.6819362";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516348_2.jpg
"Roche Bobois, Puerto Rico /
San Juan, September 2015 New Address
308 Avenida Constitucion
Puerta De Tierra
00901 San Juan, Pr";"Roche Bobois";"Puerto Rico /
San Juan";"September 2015 New Address
308 Avenida Constitucion
Puerta De Tierra
00901 San Juan, Pr";"18.4650044, -66.0976792";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516348_3.jpg
"Roche Bobois, New York, 200 Madison Ave
New York, Ny 10016";"Roche Bobois";"New York";"200 Madison Ave
New York, Ny 10016";"40.7488313, -73.9829823";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516347.jpg
"Roche Bobois, New York - Upper East Side, 207 East 57Th Street
New York, Ny 10022";"Roche Bobois";"New York - Upper East Side";"207 East 57Th Street
New York, Ny 10022";"40.7602847, -73.9668148";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516347_0.jpg
"Roche Bobois, New York - Upper East Side 2, 950 3Rd Avenue,
New York, Ny, 1022, Usa";"Roche Bobois";"New York - Upper East Side 2";"950 3Rd Avenue,
New York, Ny, 1022, Usa";"40.7605023, -73.9678607";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516347_1.jpg
"Roche Bobois, New York - Upper West Side, 2040 Broadway
New York, Ny 10023";"Roche Bobois";"New York - Upper West Side";"2040 Broadway
New York, Ny 10023";"40.7771028, -73.9816854";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516347_2.jpg
"Roche Bobois, Palm Beach, 136 U.S. Highway One
North Palm Beach, Fl 33408";"Roche Bobois";"Palm Beach";"136 U.S. Highway One
North Palm Beach, Fl 33408";"26.8056634, -80.0554895";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516347_3.jpg
"Roche Bobois, Miami Design District, 3450 Biscayne Boulevard Miami Fl 33137";"Roche Bobois";"Miami Design District";"3450 Biscayne Boulevard Miami Fl 33137";"25.809164, -80.1898142";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516346_2.jpg
"Roche Bobois, Houston, 4810 San Felipe Road
Houston, Tx 77056";"Roche Bobois";Houston;"4810 San Felipe Road
Houston, Tx 77056";"29.7484861, -95.4699173";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516346.jpg
"Roche Bobois, Los Angeles, 8850 Beverly Blvd.
Los Angeles, Ca 90048";"Roche Bobois";"Los Angeles";"8850 Beverly Blvd.
Los Angeles, Ca 90048";"34.0769165, -118.3855974";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516346_0.jpg
"Roche Bobois, Manhasset, 1023 Northern Boulevard
Roslyn, New York 11030";"Roche Bobois";Manhasset;"1023 Northern Boulevard
Roslyn, New York 11030";"40.797703, -73.668325";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516346_1.jpg
"Roche Bobois, Natick, Juillet 2015 Relocation New Address:
395 Worcester Road
Natick Ma 01760";"Roche Bobois";Natick;"Juillet 2015 Relocation New Address:
395 Worcester Road
Natick Ma 01760";"42.2985101, -71.4111465";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516346_3.jpg
"Roche Bobois, Columbus, 858 North High Street
Columbus, Oh 43215";"Roche Bobois";Columbus;"858 North High Street
Columbus, Oh 43215";"39.9799061, -83.0037606";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516345.jpg
"Roche Bobois, Coral Gables, 450 Biltmore Way
Coral Gables, Fl 33134";"Roche Bobois";"Coral Gables";"450 Biltmore Way
Coral Gables, Fl 33134";"25.7480618, -80.2638861";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516345_0.jpg
"Roche Bobois, Costa Mesa, 3309 Hyland Ave, Suite C Of South Coast Collection, Costa Mesa, Ca 92626";"Roche Bobois";"Costa Mesa";"3309 Hyland Ave, Suite C Of South Coast Collection, Costa Mesa, Ca 92626";"33.6946501, -117.9275547";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516345_1.jpg
"Roche Bobois, Dallas, 1707 Oak Lawn Ave
Dallas, Tx 75207";"Roche Bobois";Dallas;"1707 Oak Lawn Ave
Dallas, Tx 75207";"32.7980131, -96.819485";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516345_2.jpg
"Roche Bobois, Greenwich, 26 East Putnam Avenue
Greenwich, Ct, 06830, Usa";"Roche Bobois";Greenwich;"26 East Putnam Avenue
Greenwich, Ct, 06830, Usa";"41.0316518, -73.6260931";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516345_3.jpg
"Roche Bobois, Aventura / Miami, 19907 Biscayne Boulevard
33180 Aventura, Fl";"Roche Bobois";"Aventura / Miami";"19907 Biscayne Boulevard
33180 Aventura, Fl";"25.9590449, -80.1464985";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516344.jpg
"Roche Bobois, Boston, 2 Avery Street
Ritz Carlton Towers
Boston, Ma 02111";"Roche Bobois";Boston;"2 Avery Street
Ritz Carlton Towers
Boston, Ma 02111";"42.3528703, -71.0629976";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516344_0.jpg
"Roche Bobois, Birmingham, Roche Bobois Design Center
394 South Old Woodward Avenue
Birmingham, 
Michigan  48009";"Roche Bobois";Birmingham;"Roche Bobois Design Center
394 South Old Woodward Avenue
Birmingham, 
Michigan  48009";"42.5442442, -83.212206";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516344_1.jpg
"Roche Bobois, Chicago, 222 West Hubbard Street
Chicago, Il 60654";"Roche Bobois";Chicago;"222 West Hubbard Street
Chicago, Il 60654";"41.8902186, -87.6349486";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516344_2.jpg
"Roche Bobois, Zurich, 
Sihlporte N°3
Ch-8001 Zurich";"Roche Bobois";Zurich;"Sihlporte N°3
Ch-8001 Zurich";"47.3724588, 8.5341909";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516343.jpg
"Roche Bobois, Tunis, 129, Avenue Du L'Union Du
 Maghreb Arabe
2036 La Soukra
Tunisie";"Roche Bobois";Tunis;"129, Avenue Du L'Union Du
 Maghreb Arabe
2036 La Soukra
Tunisie";"36.8761542, 10.2458451";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516343_0.jpg
"Roche Bobois, Kiev 
, Roche Bobois
Zhylianska, 7 & 5/60
Kiev – Ukraine";"Roche Bobois";Kiev;"Roche Bobois
Zhylianska, 7 & 5/60
Kiev – Ukraine";"50.4337692, 30.5150932";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516343_1.jpg
"Roche Bobois, Kiev - Domosfera
, Domosphera Store - 02000 Kiev, Stolichnoe Highway, 101 – Ukraine";"Roche Bobois";"Kiev - Domosfera";"Domosphera Store - 02000 Kiev, Stolichnoe Highway, 101 – Ukraine";"50.4503596, 30.5245025";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516343_2.jpg
"Roche Bobois, Atlanta, 333 Buckhead Ave. Ne Suites 204
Atlanta, Ga 30305";"Roche Bobois";Atlanta;"333 Buckhead Ave. Ne Suites 204
Atlanta, Ga 30305";"33.8378641, -84.3767291";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516343_3.jpg
"Roche Bobois, Moscou Grand, Khimki, Butakovo Street, 4 
Mtk «Grand - 2», 3D Floor 
141400 Moscow Region";"Roche Bobois";"Moscou Grand";"Khimki, Butakovo Street, 4 
Mtk «Grand - 2», 3D Floor 
141400 Moscow Region";"55.8940553, 37.4439487";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516342.jpg
"Roche Bobois, Singapour
, Roche Bobois
01-02 Boon Siew Building
75 Bukit Time Road,
Singapore 229833";"Roche Bobois";Singapour;"Roche Bobois
01-02 Boon Siew Building
75 Bukit Time Road,
Singapore 229833";"48.8763337, 2.3461207";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516342_0.jpg
"Roche Bobois, Geneve, 100, Rue Du Rhone Et Pictet De Rochemont 4-6
1 204 - Geneve";"Roche Bobois";Geneve;"100, Rue Du Rhone Et Pictet De Rochemont 4-6
1 204 - Geneve";"46.2029808, 6.152152";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516342_1.jpg
"Roche Bobois, Lausanne, 13, Route Sous-Riette
1 023 - Crissier";"Roche Bobois";Lausanne;"13, Route Sous-Riette
1 023 - Crissier";"46.5523189, 6.5759928";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516342_2.jpg
"Roche Bobois, Doha, Al Rayan Alqadeem Street
Po Box 3633
 - Doha, Qatar";"Roche Bobois";Doha;"Al Rayan Alqadeem Street
Po Box 3633
 - Doha, Qatar";"25.3004226, 51.4619577";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516341.jpg
"Roche Bobois, Saint Domingue, Calle Fantino Falco # 38, Ens. Naco,Santo Domingo, Republica Dominicana";"Roche Bobois";"Saint Domingue";"Calle Fantino Falco # 38, Ens. Naco,Santo Domingo, Republica Dominicana";"18.4760818, -69.9284525";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516341_0.jpg
"Roche Bobois, Bucarest, Str. General Constantin Budisteanu N° 28C Parter, 
Sector 1, Bucharest";"Roche Bobois";Bucarest;"Str. General Constantin Budisteanu N° 28C Parter, 
Sector 1, Bucharest";"44.4426026, 26.0908973";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516341_1.jpg
"Roche Bobois, Ekaterinburg (1 Radischeva), Roche Bobois Store
Radischeva Str 25
6200144 Ekaterinburg
Russian Federation";"Roche Bobois";"Ekaterinburg (1 Radischeva)";"Roche Bobois Store
Radischeva Str 25
6200144 Ekaterinburg
Russian Federation";"56.8430993, 60.6455586";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516341_2.jpg
"Roche Bobois, Moscou Crocus, Furniture House Shopping Center - International Trade And Exhibition Center ""Crocus City"", 3D Floor, Moscow Region, Krasnogorsk, 65-66 Km Mkad , 143402 -  Russia";"Roche Bobois";"Moscou Crocus";"Furniture House Shopping Center - International Trade And Exhibition Center ""Crocus City"", 3D Floor, Moscow Region, Krasnogorsk, 65-66 Km Mkad , 143402 -  Russia";"55.8263313, 37.326297";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516341_3.jpg
"Roche Bobois, Lima, Rh Edicion Limitada Sac 
Av Salaverry 3215 San Isidro, Lima 
Perou";"Roche Bobois";Lima;"Rh Edicion Limitada Sac 
Av Salaverry 3215 San Isidro, Lima 
Perou";"-12.0993669, -77.0562467";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516340.jpg
"Roche Bobois, Manille, 2100 Don Chino Roces Extension, Metro Manila, 1200 Makati City – Philippines";"Roche Bobois";Manille;"2100 Don Chino Roces Extension, Metro Manila, 1200 Makati City – Philippines";"14.5526494, 121.013698";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516340_0.jpg
"Roche Bobois, Lisbonne, Avenida 24 De Julho N°3A A 3E
1200-480 Lisboa
Portugal";"Roche Bobois";Lisbonne;"Avenida 24 De Julho N°3A A 3E
1200-480 Lisboa
Portugal";"38.7067516, -9.147308";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516340_1.jpg
"Roche Bobois, Lisbonne 2, Avenida Da Liberdade N.º 38
1250-145 Lisboa";"Roche Bobois";"Lisbonne 2";"Avenida Da Liberdade N.º 38
1250-145 Lisboa";"38.7182738, -9.1438885";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516340_2.jpg
"Roche Bobois, Monterrey, Calzada Del Valle 113 Oriente
Col. Valle Garza Garcia Nuevo Leon - Cp. 66 220
Monterrey Nuevo Leon";"Roche Bobois";Monterrey;"Calzada Del Valle 113 Oriente
Col. Valle Garza Garcia Nuevo Leon - Cp. 66 220
Monterrey Nuevo Leon";"25.6584773, -100.372908";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516339.jpg
"Roche Bobois, Panama City, Avenida B, Local 71
Costa Del Este
Panama City
Republic Of Panama";"Roche Bobois";"Panama City";"Avenida B, Local 71
Costa Del Este
Panama City
Republic Of Panama";"9.0127394, -79.4779534";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516339_0.jpg
"Roche Bobois, Amsterdam, Valkenburgerstraat 123 
1011 Mh - Amsterdam";"Roche Bobois";Amsterdam;"Valkenburgerstraat 123 
1011 Mh - Amsterdam";"52.3693701, 4.9071257";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516339_1.jpg
"Roche Bobois, Rabat, Km 5 Avenue Mohamed Vi 
(Ex Zaers)
10 170 Souissi - Rabat";"Roche Bobois";Rabat;"Km 5 Avenue Mohamed Vi 
(Ex Zaers)
10 170 Souissi - Rabat";"33.9876569, -6.8283777";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516338.jpg
"Roche Bobois, Casablanca, 36 Rue Charam Achaykh - 
Maarif / 20100 Casablanca";"Roche Bobois";Casablanca;"36 Rue Charam Achaykh - 
Maarif / 20100 Casablanca";"33.583182, -7.629867";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516338_0.jpg
"Roche Bobois, Mexico 
Artz, Showrrom Artz Pedregal
Boulevard Adolfo Ruíz Cortínez No. 3720
Col. Jardines Del Pedregal
Local 122 C 1Er Nivel.
México, Cdmx";"Roche Bobois";"Mexico 
Artz";"Showrrom Artz Pedregal
Boulevard Adolfo Ruíz Cortínez No. 3720
Col. Jardines Del Pedregal
Local 122 C 1Er Nivel.
México, Cdmx";"19.3135357, -99.2192939";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516338_1.jpg
"Roche Bobois, Mexico 
Santa Fe, Centro Comercial Santa Fe
Avenida Vasco De Quiroga 3800 -  Piso 3  Local 604
C.P. 05 109 Santa Fe
Mexico D.F.";"Roche Bobois";"Mexico 
Santa Fe";"Centro Comercial Santa Fe
Avenida Vasco De Quiroga 3800 -  Piso 3  Local 604
C.P. 05 109 Santa Fe
Mexico D.F.";"19.3845566, -99.2284168";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516338_2.jpg
"Roche Bobois, Mexico 
Polanco, Avenida Presidente Masaryk N° 506 - Col. Polanco
Cp. 11 560 Mexico D.F.";"Roche Bobois";"Mexico 
Polanco";"Avenida Presidente Masaryk N° 506 - Col. Polanco
Cp. 11 560 Mexico D.F.";"19.4320394, -99.203335";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516338_3.jpg
"Roche Bobois, Amman, Shmeissani
Abdul Hammed Badees Street
Amman, Jordan";"Roche Bobois";Amman;"Shmeissani
Abdul Hammed Badees Street
Amman, Jordan";"31.9690675, 35.899243";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516337.jpg
"Roche Bobois, Almaty
, Roche Bobois
123/7’ Dostyk Avenue
Almaty City, 050020
Kazakhstan";"Roche Bobois";Almaty;"Roche Bobois
123/7’ Dostyk Avenue
Almaty City, 050020
Kazakhstan";"43.2172119, 76.9639802";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516337_0.jpg
"Roche Bobois, Koweit City, Seven Zones Design Center
Shouweikh Area 1 – Plot 63
Koweit";"Roche Bobois";"Koweit City";"Seven Zones Design Center
Shouweikh Area 1 – Plot 63
Koweit";"29.31166, 47.481766";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516337_1.jpg
"Roche Bobois, Beyrouth
Beirut, Centre Ville - Centre Atrium
Rue Weygand
Beyrouth / Liban";"Roche Bobois";"Beyrouth
Beirut";"Centre Ville - Centre Atrium
Rue Weygand
Beyrouth / Liban";"33.8937913, 35.5019267";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516337_2.jpg
"Roche Bobois, Luxembourg, 126 A, Rue De Mamer
8 081 - Bertrange";"Roche Bobois";Luxembourg;"126 A, Rue De Mamer
8 081 - Bertrange";"49.6164098, 6.0485067";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516337_3.jpg
"Roche Bobois, Perugia - Bastia Umbra, Via Dei Pioppi, 12 06083 Bastia Umbra (Perugia)";"Roche Bobois";"Perugia - Bastia Umbra";"Via Dei Pioppi, 12 06083 Bastia Umbra (Perugia)";"43.0598437, 12.5506438";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516336_0.jpg
"Roche Bobois, Roma, Via Dei Prati Fiscali, 235/239 00141 Roma";"Roche Bobois";Roma;"Via Dei Prati Fiscali, 235/239 00141 Roma";"41.9459783, 12.517167";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516336_1.jpg
"Roche Bobois, Salerno, Via Irno,  1 Ang. Via Nizza 84100 Salerno";"Roche Bobois";Salerno;"Via Irno,  1 Ang. Via Nizza 84100 Salerno";"40.6814748, 14.7745437";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516336_2.jpg
"Roche Bobois, Torino, Via Della Consolata 13/E 10122 Torino";"Roche Bobois";Torino;"Via Della Consolata 13/E 10122 Torino";"45.0769065, 7.6786249";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516336_3.jpg
"Roche Bobois, Treviso, Viale Montegrappa 11, 31100 Treviso";"Roche Bobois";Treviso;"Viale Montegrappa 11, 31100 Treviso";"45.6664964, 12.2317498";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516336_4.jpg
"Roche Bobois, Palermo, Via Cerda, 2 - Ang. Via Villaermosa 90139 Palermo";"Roche Bobois";Palermo;"Via Cerda, 2 - Ang. Via Villaermosa 90139 Palermo";"38.1230017, 13.3590014";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516336.jpg
"Roche Bobois, Verona, Corso Porta Borsari, 44 37121 Verona";"Roche Bobois";Verona;"Corso Porta Borsari, 44 37121 Verona";"45.4423927, 10.9935298";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516336_5.jpg
"Roche Bobois, Tokyo, 1F2F 3-35-1 Jingumae Shibuya-Ku 
Tokyo, 
Japan";"Roche Bobois";Tokyo;"1F2F 3-35-1 Jingumae Shibuya-Ku 
Tokyo, 
Japan";"35.6722723, 139.7123793";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516336_6.jpg
"Roche Bobois, Milano I, Via Molino Delle Armi, 49 20123 Milano";"Roche Bobois";"Milano I";"Via Molino Delle Armi, 49 20123 Milano";"45.4571405, 9.1814382";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516335.jpg
"Roche Bobois, Milano Ii, Piazza Risorgimento, 8 20129 Milano";"Roche Bobois";"Milano Ii";"Piazza Risorgimento, 8 20129 Milano";"45.4672566, 9.2107645";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516335_0.jpg
"Roche Bobois, Monza, Miotto Maison Design Srl
Via Cavallotti, 27
20900 Monza";"Roche Bobois";Monza;"Miotto Maison Design Srl
Via Cavallotti, 27
20900 Monza";"45.5806348, 9.267584";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516335_1.jpg
"Roche Bobois, Napoli , Via Chiatamone N°6
80121 Napoli";"Roche Bobois";Napoli;"Via Chiatamone N°6
80121 Napoli";"40.8315434, 14.2443576";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516335_2.jpg
"Roche Bobois, Padova 1, Via Santa Lucia, 46 Ang. Acquileia 35139 Padova";"Roche Bobois";"Padova 1";"Via Santa Lucia, 46 Ang. Acquileia 35139 Padova";"45.4085828, 11.8744606";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516335_3.jpg
